"id_arbre";"DBH_BMP";"id_branche";"diam_BMP.cm";"diam_BMP.m";"long_BMP.m";"sd_saprox_BMP";"H_BMP.m";"Rq";"massif";"plot";"num_arbre";"sp";"note_DEPERIS";"H_bas_houppier.m";"L_houppier.m";"DBH.cm";"H_arbre.m";"f_elancement";"note_DEPERIS_simpl";"vol.m2";"strate_BMP"
"T_315_2";76;5;5;0.05;1;2;34.5;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.00196349540849362;"h2"
"T_315_2";76;6;5;0.05;3;2;41.5;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.00589048622548086;"h3"
"T_315_2";76;7;5;0.05;1;3;35;"";"Troncais";315;2;"Quercus_petraea";NA;17;29;76;46;60.5263157894737;NA;0.00196349540849362;"h2"
"T_315_3";80;1;5;0.05;1;4;16;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.00196349540849362;"2t"
"T_315_3";80;2;10;0.1;5;3;20;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.0392699081698724;"2t"
"T_315_3";80;3;5;0.05;1;3;26;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.00196349540849362;"h1"
"T_315_3";80;4;10;0.1;4;4;26;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.0314159265358979;"h1"
"T_315_3";80;5;10;0.1;7;3;27.5;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.0549778714378214;"h1"
"T_315_3";80;6;5;0.05;1;3;29;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.00196349540849362;"h1"
"T_315_3";80;7;10;0.1;1;2;35.5;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.00785398163397448;"h2"
"T_315_3";80;8;5;0.05;1;2;36.5;"";"Troncais";315;3;"Quercus_petraea";"F";25;18;80;43;53.75;"deperissant";0.00196349540849362;"h2"
