id_arbre;DBH_BMP;id_branche;diam_BMP.cm;diam_BMP.m;long_BMP.m;sd_saprox_BMP;H_BMP.m;Rq
V_22_3;71;18;5;0.05;2;2;25;
V_22_3;71;19;5;0.05;2;2;25;
V_22_4;77;1;5;0.05;1;4;8.5;
V_22_4;77;2;10;0.1;8;3;9;
V_22_4;77;3;5;0.05;3;3;10;
V_22_4;77;4;5;0.05;1;3;11;
V_22_4;77;5;20;0.2;16;2;11;
V_22_4;77;6;10;0.1;7;4;11;
V_22_4;77;7;10;0.1;5;3;11;
V_22_4;77;8;5;0.05;2;4;16;
V_22_4;77;9;5;0.05;2;4;17;
V_22_4;77;10;10;0.1;8;4;18;
V_22_4;77;11;10;0.1;2;3;23;
V_22_4;77;12;10;0.1;4;4;15;
V_22_4;77;13;10;0.1;5;2;22;
V_22_4;77;14;10;0.1;3;3;22;
V_22_4;77;15;5;0.05;1;2;29;
V_236_1;104;1;20;0.2;1;3;10;
V_236_1;104;2;5;0.05;1;3;11.5;
V_236_1;104;3;20;0.2;1;3;11.5;
V_236_1;104;4;5;0.05;2;3;14.5;
V_236_1;104;5;10;0.1;4;4;15;
V_236_1;104;6;20;0.2;10;2;16.5;
V_236_1;104;7;5;0.05;1;3;21.5;
V_236_1;104;8;10;0.1;1;3;16;
V_236_1;104;9;5;0.05;1;3;23;
V_236_1;104;10;5;0.05;1;3;19;
V_236_1;104;11;5;0.05;1;2;19;
V_236_1;104;12;5;0.05;1;2;19;
V_236_1;104;13;5;0.05;1;3;22;
V_236_1;104;14;10;0.1;5;2;15;
V_236_1;104;15;5;0.05;1;2;19;
V_236_2;61;1;15;0.15;7;4;13;
V_236_2;61;2;5;0.05;2;4;15;
V_236_2;61;3;5;0.05;4;4;15;
V_236_2;61;4;5;0.05;2;3;18;
V_236_2;61;5;5;0.05;1;3;30;
V_236_3;72;1;10;0.1;3;3;16.5;
V_236_3;72;2;5;0.05;2;3;18;
V_236_3;72;3;15;0.15;5;2;19;
V_236_3;72;4;10;0.1;2;3;16;
V_236_4;88;1;15;0.15;4;3;10;
V_236_4;88;2;10;0.1;3;3;11;
V_236_4;88;3;15;0.15;3;3;12;
V_236_4;88;4;35;0.35;2;2;12.5;
V_236_4;88;5;15;0.15;6;3;14;
V_236_4;88;6;10;0.1;2;4;18;
V_236_4;88;7;10;0.1;2;3;18;
V_236_4;88;8;5;0.05;2;4;18;
V_236_4;88;9;10;0.1;1;4;16;
V_236_4;88;10;5;0.05;1;3;16;
V_236_4;88;11;10;0.1;2;3;17.5;
V_236_4;88;12;5;0.05;2;2;24;
V_236_4;88;13;10;0.1;2;3;15;
V_236_4;88;14;10;0.1;4;3;15;
V_236_4;88;15;10;0.1;2;3;21;
V_236_4;88;16;5;0.05;2;2;21;
V_249_1;51;1;5;0.05;10;3;18;
V_249_1;51;2;10;0.1;6;3;21;
V_249_1;51;3;10;0.1;2;2;21.5;
V_249_2;73;1;5;0.05;2;3;14.5;jumelle
V_249_2;73;2;5;0.05;5;2;18;jumelle
V_249_2;73;3;5;0.05;1;2;19;jumelle
V_249_3;51;1;5;0.05;1;3;24.5;
V_249_4;62;1;5;0.05;2;1;9.5;
V_249_4;62;2;10;0.1;4;1;11.5;
V_249_4;62;3;5;0.05;1;2;12.5;
V_249_4;62;4;5;0.05;1;2;18.5;
V_249_4;62;5;5;0.05;1;3;9;
V_249_4;62;6;5;0.05;3;1;21;
V_249_4;62;7;5;0.05;1;2;22;
V_249_4;62;8;5;0.05;1;1;19;
V_270_1;65;1;5;0.05;2;2;10.5;
V_270_1;65;2;15;0.15;8;3;12;
V_270_1;65;3;5;0.05;1;2;17.5;
V_270_2;58;1;5;0.05;1;4;13;
V_270_2;58;2;10;0.1;5;2;16.5;
V_270_2;58;3;5;0.05;3;3;16.5;
V_270_2;58;4;5;0.05;2;2;19.5;
V_270_3;62;1;10;0.1;1;2;18;
V_270_4;70;1;5;0.05;3;4;10;
V_270_4;70;2;5;0.05;1;2;16;
V_270_4;70;3;10;0.1;7;1;20;
V_270_4;70;4;10;0.1;4;2;21;
V_290_1;55;1;10;0.1;4;2;16;
V_290_1;55;2;5;0.05;1;2;17;
V_290_1;55;3;5;0.05;1;2;23;
V_290_2;52;1;5;0.05;1;4;13;
V_290_2;52;2;15;0.15;5;1;14;
V_290_2;52;3;10;0.1;4;2;17.5;
V_290_2;52;4;5;0.05;1;3;18;
V_290_2;52;5;5;0.05;1;2;19;
V_290_2;52;6;10;0.1;5;2;21;
V_290_2;52;7;5;0.05;1;4;14.5;
V_290_2;52;8;5;0.05;3;3;15;
V_290_2;52;9;10;0.1;5;1;16;
V_290_2;52;10;5;0.05;3;2;19;
V_290_2;52;11;5;0.05;3;3;22;
V_290_2;52;12;5;0.05;1;2;26;
V_290_3;53;1;5;0.05;3;1;15;
V_290_3;53;2;5;0.05;1;2;21;
V_290_3;53;3;5;0.05;3;1;22;
V_290_3;53;4;5;0.05;2;2;23;
V_290_3;53;5;10;0.1;1;2;20;
V_290_4;50;1;5;0.05;5;2;13;
V_63_1;46;1;5;0.05;3;3;20;
V_63_1;46;2;10;0.1;3;3;17;
V_63_1;46;3;5;0.05;4;1;25;
V_63_1;46;4;5;0.05;2;3;26.5;
V_63_2;51;1;10;0.1;4;3;15.5;
V_63_3;58;1;15;0.15;3;3;16.5;
V_63_3;58;2;10;0.1;4;3;16.5;
