LOCA	parcelle	num.tree2	num.trap	id.trap	strate	prop.trap.season	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	ab.colsxrsx	sr.colsxrsx
Vierzon	81	11	1	Vierzon111	supra 	1	338	70	24	8	245	55	25	10	170	26	11	5	4	4	324	62	80	18	3	3	132	17	103	19	57	11	41	19	2	2	2.264408284	1.531213018	2.681538462	4.390828402	0.396638921	0.344347198	0.738863652	0.518368154	8	5
Vierzon	81	11	2	Vierzon112	intra.sup	0.884609958	604	80	25	8	487	68	52	21	239	29	12	6	5	3	586	73	195	23	7	2	150	16	177	22	191	19	78	20	0	0	2.359354305	1.525695364	2.84294702	7.127980132	0.352945095	0.324191528	0.778000962	0.886453575	1	1
Vierzon	81	11	3	Vierzon113	intra.inf	1	230	54	10	5	135	45	30	17	175	24	5	3	7	4	219	50	36	17	9	2	117	14	59	10	25	16	17	10	0	0	2.244130435	1.632565217	2.722	3.817826087	0.396938449	0.521733472	0.664249278	0.448560227	0	0
Vierzon	81	11	4	Vierzon114	infra 	1	179	60	3	2	127	52	26	17	137	27	15	5	6	3	159	53	22	14	5	2	80	14	48	12	31	21	16	12	0	0	2.284692737	1.597206704	2.57301676	4.358659218	0.372569958	0.456413092	0.691354639	0.562419453	0	0
Vierzon	22	12	1	Vierzon121	supra 	0.862216604	274	58	31	6	198	46	42	8	126	15	14	2	4	1	257	54	65	14	3	2	93	10	82	20	43	13	51	12	1	1	2.089525547	1.576824818	2.476861314	4.671167883	0.461754944	0.684383303	0.813299628	0.519565351	8	3
Vierzon	22	12	2	Vierzon122	intra.sup	0.686515322	332	71	25	7	260	60	42	20	219	24	12	5	2	1	316	63	48	20	4	3	81	13	153	14	39	19	54	22	2	2	2.225120482	1.58313253	2.519698795	4.600301205	0.363242311	0.502717216	0.757040977	0.555374442	1	1
Vierzon	22	12	3	Vierzon123	intra.inf	0.722712604	335	42	8	4	291	34	19	11	289	21	2	2	2	1	330	38	12	8	3	2	50	11	246	7	13	10	24	13	1	1	2.267940299	1.565492537	2.233044776	3.02119403	0.176147777	0.330474212	0.454235862	0.188570422	0	0
Vierzon	22	12	4	Vierzon124	infra 	1	392	56	5	5	344	47	32	15	307	19	2	2	7	6	385	51	10	8	6	4	67	9	278	16	10	9	28	15	2	2	2.25375	1.608341837	2.211760204	3.152295918	0.212132449	0.458336501	0.409231313	0.210142809	1	1
Vierzon	63	13	1	Vierzon131	supra 	1	409	64	29	7	329	52	51	15	185	20	19	4	5	4	383	57	87	21	7	3	145	11	135	20	72	15	49	14	3	2	2.280684597	1.509413203	2.555183374	5.542542787	0.517824001	0.454043891	0.768127904	0.692755199	1	1
Vierzon	63	13	2	Vierzon132	intra.sup	0.884609958	386	77	17	7	342	65	46	16	144	29	17	8	20	4	360	67	96	23	9	2	108	16	95	16	91	20	69	21	1	1	2.356580311	1.489974093	2.611943005	6.926165803	0.574866141	0.401975412	0.830669526	0.815178355	0	0
Vierzon	63	13	3	Vierzon133	intra.inf	0.565167036	118	33	6	4	89	26	9	5	67	17	3	2	15	4	114	30	13	6	2	2	26	7	55	8	16	9	7	5	0	0	2.284152542	1.574576271	2.360169492	4.587288136	0.417855742	0.551257744	0.781684246	0.522376852	0	0
