Y;Effect;Groupe.var;pval (originale);pval ;Comparaison;Estimate;p-value;Significance;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;-1.9133;0.01556 *;N.S;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;0.9629     ;0.12980    ;N.S;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;1.4904     ;0.00407 **;**;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;2.8762     ;< 0.001 ***;***;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;3.4037     ;< 0.001 ***;***;;
ab.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.5275     ;0.19720    ;N.S;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;-0.44728;< 0.001 ***;***;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;-0.33123;< 0.001 ***;***;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;-0.16139;0.262    ;N.S;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;0.11606    ;0.326      ;N.S;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;0.28590    ;< 0.001 ***;***;;
sr.sxy;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.16984    ;0.123    ;N.S;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;-0.4880;< 0.001 ***;***;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;0.2064     ;0.57451    ;N.S;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;0.7349     ;0.00484 **;**;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;0.6944     ;< 0.001 ***;***;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;1.2229     ;< 0.001 ***;***;;
ab.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.5285     ;0.10810    ;N.S;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_UC;-0.55862;0.00242 **;**;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_LC;-0.02036;0.99928    ;N.S;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;AC_BC;0.21156    ;0.54156    ;N.S;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_LC;0.53826    ;0.00385 **;**;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;UC_BC;0.77018    ;< 0.001 ***;***;;
sr.zoo;Stratum effect;Trophic Larvae Guilds;P < 0,001;P < 0,001;LC_BC;0.23192    ;0.46351    ;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_UC;-0.29344;0.67568   ;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_LC;-0.85467;0.00228 **;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_BC;-0.09111;0.98664   ;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_LC;-0.56123;0.05964 .;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_BC;0.20233    ;0.85481   ;N.S;;
ab.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;LC_BC;0.76356    ;0.00610 **;N.S;;
sr.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_UC;-0.37557;0.3966  ;N.S;;
sr.cavspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_LC;-0.65237;0.0215 *;N.S;;
